Date,Forecast
2026-05-28,17797.463
2026-05-29,17819.215
2026-06-01,17848.559
2026-06-02,17881.504
2026-06-03,17916.143
2026-06-04,17951.584
2026-06-05,17987.39
2026-06-08,18023.355
2026-06-09,18059.389
2026-06-10,18095.428
2026-06-11,18131.445
2026-06-12,18167.422
2026-06-15,18203.367
2026-06-16,18239.285
2026-06-17,18275.176
2026-06-18,18311.05
2026-06-19,18346.93
2026-06-22,18382.805
2026-06-23,18418.682
2026-06-24,18454.557
2026-06-25,18490.426
2026-06-26,18526.297
2026-06-29,18562.158
2026-06-30,18597.998
2026-07-01,18633.807
2026-07-02,18669.57
2026-07-03,18705.3
2026-07-06,18740.963
2026-07-07,18776.553
2026-07-08,18812.05
